2014-03-16 20:05:25,670 [DEBUG] django.db.backends: (0.000) SELECT `article_article`.`id`, `article_article`.`title`, `article_article`.`body`, `article_article`.`pub_date`, `article_article`.`likes`, `article_article`.`thumbnail` FROM `article_article` WHERE `article_article`.`title` LIKE BINARY '%Test%' ; args=(u'%Test%',)
2014-03-16 20:05:25,975 [DEBUG] django.db.backends: (0.000) SELECT COUNT(*) FROM `article_article` WHERE `article_article`.`title` LIKE BINARY '%Test%' ; args=(u'%Test%',)
2014-03-16 20:05:25,977 [DEBUG] django.db.backends: (0.001) SELECT `article_article`.`id`, `article_article`.`title`, `article_article`.`body`, `article_article`.`pub_date`, `article_article`.`likes`, `article_article`.`thumbnail` FROM `article_article` WHERE `article_article`.`title` LIKE BINARY '%Test%' ; args=(u'%Test%',)
2014-03-16 20:05:40,453 [DEBUG] django.db.backends: (0.000) SELECT COUNT(*) FROM `article_article` WHERE `article_article`.`title` LIKE BINARY '%Tes%' ; args=(u'%Tes%',)
2014-03-16 20:05:40,455 [DEBUG] django.db.backends: (0.000) SELECT `article_article`.`id`, `article_article`.`title`, `article_article`.`body`, `article_article`.`pub_date`, `article_article`.`likes`, `article_article`.`thumbnail` FROM `article_article` WHERE `article_article`.`title` LIKE BINARY '%Tes%' ; args=(u'%Tes%',)
2014-03-16 20:05:40,613 [DEBUG] django.db.backends: (0.000) SELECT COUNT(*) FROM `article_article` WHERE `article_article`.`title` LIKE BINARY '%Te%' ; args=(u'%Te%',)
2014-03-16 20:05:40,614 [DEBUG] django.db.backends: (0.000) SELECT `article_article`.`id`, `article_article`.`title`, `article_article`.`body`, `article_article`.`pub_date`, `article_article`.`likes`, `article_article`.`thumbnail` FROM `article_article` WHERE `article_article`.`title` LIKE BINARY '%Te%' ; args=(u'%Te%',)
2014-03-16 20:05:40,785 [DEBUG] django.db.backends: (0.000) SELECT COUNT(*) FROM `article_article` WHERE `article_article`.`title` LIKE BINARY '%T%' ; args=(u'%T%',)
2014-03-16 20:05:40,787 [DEBUG] django.db.backends: (0.001) SELECT `article_article`.`id`, `article_article`.`title`, `article_article`.`body`, `article_article`.`pub_date`, `article_article`.`likes`, `article_article`.`thumbnail` FROM `article_article` WHERE `article_article`.`title` LIKE BINARY '%T%' ; args=(u'%T%',)
2014-03-16 20:05:40,951 [DEBUG] django.db.backends: (0.000) SELECT COUNT(*) FROM `article_article` WHERE `article_article`.`title` LIKE BINARY '%%' ; args=(u'%%',)
2014-03-16 20:05:40,953 [DEBUG] django.db.backends: (0.001) SELECT `article_article`.`id`, `article_article`.`title`, `article_article`.`body`, `article_article`.`pub_date`, `article_article`.`likes`, `article_article`.`thumbnail` FROM `article_article` WHERE `article_article`.`title` LIKE BINARY '%%' ; args=(u'%%',)
2014-03-16 20:05:41,298 [DEBUG] django.db.backends: (0.000) SELECT COUNT(*) FROM `article_article` WHERE `article_article`.`title` LIKE BINARY '%F%' ; args=(u'%F%',)
2014-03-16 20:05:41,312 [DEBUG] django.db.backends: (0.000) SELECT COUNT(*) FROM `article_article` WHERE `article_article`.`title` LIKE BINARY '%F%' ; args=(u'%F%',)
2014-03-16 20:05:41,458 [DEBUG] django.db.backends: (0.001) SELECT COUNT(*) FROM `article_article` WHERE `article_article`.`title` LIKE BINARY '%Fo%' ; args=(u'%Fo%',)
2014-03-16 20:05:41,605 [DEBUG] django.db.backends: (0.001) SELECT COUNT(*) FROM `article_article` WHERE `article_article`.`title` LIKE BINARY '%Foo%' ; args=(u'%Foo%',)
2014-03-16 20:05:41,868 [DEBUG] django.db.backends: (0.000) SELECT COUNT(*) FROM `article_article` WHERE `article_article`.`title` LIKE BINARY '%Foo%' ; args=(u'%Foo%',)
2014-03-16 20:14:15,079 [DEBUG] django.db.backends: (0.000) SELECT COUNT(*) FROM `article_article` WHERE `article_article`.`title` LIKE BINARY '%Fo%' ; args=(u'%Fo%',)
2014-03-16 20:14:15,252 [DEBUG] django.db.backends: (0.000) SELECT COUNT(*) FROM `article_article` WHERE `article_article`.`title` LIKE BINARY '%F%' ; args=(u'%F%',)
2014-03-16 20:14:15,417 [DEBUG] django.db.backends: (0.000) SELECT COUNT(*) FROM `article_article` WHERE `article_article`.`title` LIKE BINARY '%%' ; args=(u'%%',)
2014-03-16 20:14:15,420 [DEBUG] django.db.backends: (0.001) SELECT `article_article`.`id`, `article_article`.`title`, `article_article`.`body`, `article_article`.`pub_date`, `article_article`.`likes`, `article_article`.`thumbnail` FROM `article_article` WHERE `article_article`.`title` LIKE BINARY '%%' ; args=(u'%%',)
2014-03-16 20:14:16,040 [DEBUG] django.db.backends: (0.003) SELECT COUNT(*) FROM `article_article` WHERE `article_article`.`title` LIKE BINARY '%f%' ; args=(u'%f%',)
2014-03-16 20:14:16,103 [DEBUG] django.db.backends: (0.062) SELECT COUNT(*) FROM `article_article` WHERE `article_article`.`title` LIKE BINARY '%fo%' ; args=(u'%fo%',)
2014-03-16 20:14:16,104 [DEBUG] django.db.backends: (0.000) SELECT COUNT(*) FROM `article_article` WHERE `article_article`.`title` LIKE BINARY '%fo%' ; args=(u'%fo%',)
2014-03-16 20:14:16,221 [DEBUG] django.db.backends: (0.001) SELECT COUNT(*) FROM `article_article` WHERE `article_article`.`title` LIKE BINARY '%foo%' ; args=(u'%foo%',)
2014-03-16 20:14:16,553 [DEBUG] django.db.backends: (0.000) SELECT COUNT(*) FROM `article_article` WHERE `article_article`.`title` LIKE BINARY '%foo%' ; args=(u'%foo%',)
2014-03-16 20:17:36,483 [DEBUG] django.db.backends: (0.000) SELECT COUNT(*) FROM `article_article` WHERE `article_article`.`title` LIKE BINARY '%fo%' ; args=(u'%fo%',)
2014-03-16 20:17:36,649 [DEBUG] django.db.backends: (0.000) SELECT COUNT(*) FROM `article_article` WHERE `article_article`.`title` LIKE BINARY '%f%' ; args=(u'%f%',)
2014-03-16 20:17:36,822 [DEBUG] django.db.backends: (0.000) SELECT COUNT(*) FROM `article_article` WHERE `article_article`.`title` LIKE BINARY '%%' ; args=(u'%%',)
